10.750	322.2	-203.6
10.800	323.0	-203.8
10.850	323.5	-203.7
10.900	324.3	-203.7
10.950	324.9	-203.9
11.000	325.4	-203.7
11.050	326.3	-203.7
11.100	326.9	-203.9
11.150	327.4	-203.7
11.200	328.0	-204.0
11.250	328.7	-203.7
11.300	329.2	-203.7
11.350	330.0	-204.0
11.400	330.6	-203.7
11.450	331.3	-203.6
11.500	331.9	-203.8
11.550	332.5	-203.7
11.600	333.3	-203.6
11.650	333.8	-203.8
11.700	334.4	-203.7
11.750	335.0	-203.9
11.800	335.5	-203.8
11.850	336.1	-203.9
11.900	336.7	-203.7
11.950	337.4	-203.6
12.000	338.0	-203.8
12.050	338.5	-203.6
12.100	339.0	-203.9
12.150	339.7	-203.7
12.200	340.4	-203.7
12.250	341.0	-203.9
12.300	341.6	-203.7
12.350	342.3	-203.6
12.400	342.8	-203.8
12.450	343.4	-203.7
12.500	343.9	-203.8
12.550	344.7	-203.7
12.600	345.2	-203.6
12.650	345.9	-203.7
12.700	346.4	-203.6
12.750	346.9	-203.8
12.800	347.6	-203.6
12.850	348.0	-203.8
12.900	348.7	-203.7
12.950	349.3	-203.6
13.000	349.8	-203.7
13.050	350.5	-203.6
13.100	351.0	-203.8
13.150	351.5	-203.6
13.200	352.0	-203.8
13.250	352.6	-203.7
13.300	353.0	-203.8
13.350	353.6	-203.7
13.400	354.4	-203.6
13.450	354.9	-203.8
13.500	355.4	-203.6
13.550	355.9	-203.8
13.600	356.5	-203.7
13.650	357.5	-203.0
13.700	357.7	-203.6
13.750	358.5	-203.0
13.800	359.4	-202.9
13.850	359.8	-203.1
13.900	360.4	-202.8
13.950	360.8	-203.0
14.000	361.4	-202.8
14.050	361.8	-202.9
14.100	362.4	-202.7
14.150	362.8	-202.9
14.200	363.4	-202.7
14.250	363.8	-202.9
14.300	364.4	-202.7
14.350	364.8	-202.9
14.400	365.6	-202.8
14.450	365.8	-202.9
14.500	366.5	-202.7
14.550	366.8	-202.9
14.600	367.5	-202.7
14.650	367.8	-202.9
14.700	368.4	-202.7
14.750	368.8	-202.8
14.800	369.4	-202.7
14.850	369.8	-202.8
14.900	370.5	-202.7
14.950	370.8	-202.8
15.000	371.5	-202.7
15.050	371.8	-202.8
15.100	372.5	-202.7
15.150	372.8	-202.8
15.200	373.5	-202.7
15.250	373.7	-202.8
15.300	374.4	-202.7
15.350	374.7	-202.8
15.400	375.4	-202.7
15.450	375.7	-202.8
15.500	376.4	-202.7
15.550	376.7	-202.8
15.600	377.5	-202.0
15.650	377.6	-202.7
15.700	378.5	-201.9
15.750	378.6	-202.7
15.800	378.8	-202.8
15.850	379.7	-202.0
15.900	379.9	-202.0
15.950	380.6	-201.9
16.000	380.7	-202.0
16.050	381.5	-201.8
16.100	381.7	-201.9
16.150	382.5	-201.8
16.200	382.7	-201.9
16.250	383.5	-201.8
16.300	383.6	-201.8
16.350	383.8	-201.9
16.400	384.6	-201.8
16.450	384.7	-201.9
16.500	385.5	-201.8
16.550	385.6	-201.8
16.600	386.5	-201.8
16.650	386.6	-201.8
16.700	386.8	-201.9
16.750	387.5	-201.8
16.800	387.7	-201.8
16.850	387.8	-201.9
16.900	388.6	-201.8
16.950	388.7	-201.9
17.000	389.6	-200.9
17.050	389.7	-201.8
17.100	390.6	-200.9
17.150	390.6	-201.8
17.200	390.8	-201.8
17.250	391.7	-200.9
17.300	391.7	-201.8
17.350	392.6	-200.9
17.400	392.7	-200.9
17.450	392.7	-201.8
17.500	393.6	-200.9
17.550	393.6	-201.8
17.600	393.8	-201.8
17.650	394.7	-200.9
17.700	394.8	-200.9
17.750	395.6	-200.8
17.800	395.7	-200.9
17.850	395.8	-200.9
17.900	396.6	-200.8
17.950	396.7	-200.9
18.000	397.5	-200.8
18.050	397.7	-200.9
18.100	397.7	-200.9
18.150	398.6	-200.8
18.200	398.7	-200.9
18.250	398.8	-200.9
18.300	399.6	-200.8
